EquipmentID;Location;LastDate;initial_date;dvr_OB;dvr_OBV;dvr_OBH;dvr_IB;dvr_IBV;dvr_IBH;dvr_A;dvn_IB;dvn_IBV;dvn_IBH;dvn_OB;dvn_OBV;dvn_OBH;dvn_A;vib_alert;vib_danger;acc_alert;acc_danger;vib_max;acc_max;driver;driven;indikasi;remark;saran
11P5;FOC I;09/23/2020;09/23/2020;0.55;4.05;2.7;1.06;2.32;2.3;2.95;1.33;1.15;1.73;0.8;1.13;1.52;0.87;7.1;11.2;5;10;4.05;1.33;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
11P6;FOC I;09/23/2020;09/23/2020;0.59;2.61;1.53;0.47;1.22;1;4.33;1.45;2.26;2.78;1.87;2.03;1.98;1.64;7.1;11.2;5;10;4.33;1.87;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
11P6A;FOC I;12/04/2018;09/23/2020;0.32;1.10;1.32;0.58;1.06;2.04;2.45;2.79;3.29;4.33;2.99;2.98;3.46;2.59;7.1;11.2;5;10;4.33;2.99;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P6B;FOC I;;09/23/2020;;;;;;;;;;;;;;;7.1;11.2;5;10;;;MTR;PUMP;;;
11P7;FOC I;09/23/2020;09/23/2020;0.57;2.49;1.6;1.58;1.94;2.21;2.16;1.81;1.53;2.15;0.98;1.19;1.26;0.76;7.1;11.2;5;10;2.49;1.81;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
11P7A;FOC I;07/28/2020;09/23/2020;0.99;0.97;3.56;2.22;1.56;2.83;3.10;1.32;2.17;4.27;1.50;2.56;4.25;2.65;7.1;11.2;5;10;4.27;2.22;MTR;PUMP;NORMAL, Masih dimonitoring;;
11P8A;FOC I;09/23/2020;09/23/2020;0.94;3.31;4.5;1.06;2.69;5.08;4.46;1.35;6.31;4.33;1.44;5.03;3.43;2.65;4.5;7.1;5;10;6.31;1.44;MTR;PUMP;ALERT, Indikasi BPF pada pompa;BPF;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
11P8B;FOC I;09/23/2020;09/23/2020;0.51;1.11;2.02;0.39;1.76;0.89;2.23;2.4;2.8;2.26;1.54;2.09;1.78;1.69;4.5;7.1;5;10;2.8;2.4;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
11P8C;FOC I;09/15/2020;09/23/2020;0.43;2.37;2.22;0.59;0.84;2.56;0.89;2.25;3.36;2.22;0.90;2.74;1.31;1.04;4.5;7.1;5;10;3.36;2.25;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
11P9A;FOC I;07/28/2020;09/23/2020;0.30;1.48;2.15;1.01;1.18;2.13;1.12;1.26;2.68;2.78;1.26;2.25;2.39;1.78;4.5;7.1;5;10;2.78;1.26;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling pada kesempatan pertama, periksa internal part pompa balancing rotor pompa
11P9B;FOC I;09/23/2020;09/23/2020;0.27;1.38;3.16;0.52;1.23;3.5;1.73;0.98;1.86;2.4;0.81;1.45;1.44;1.77;4.5;7.1;5;10;3.5;0.98;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi fan motor, periksa kondisi coupling, balancing rotor motor, solo run motor
11P14A;FOC I;08/11/2020;09/23/2020;0.28;0.49;1.12;0.36;1.01;0.94;1.61;1.86;1.97;1.58;2.90;2.81;2.57;4.17;7.1;11.2;5;10;4.17;2.9;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa clearance bearing pompa, periksa internal part pompa
11P14B;FOC I;09/23/2020;09/23/2020;0.43;0.33;1.3;1.07;0.52;1.66;0.55;0.65;1.67;1.78;0.57;1.14;1.57;1.97;7.1;11.2;5;10;1.97;1.07;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli pompa pada kesempatan pertama, periksa clearance bearing pompa, periksa internal part pompa
11P19;FOC I;02/19/2018;09/23/2020;4.29;3.56;8.28;2.50;2.90;8.01;4.04;2.36;6.29;4.83;4.25;6.78;4.60;3.88;7.1;11.2;5;10;8.28;4.29;MTR;PUMP;ALERT, Indikasi bearing motor defect;BEARING DEFECT;Ganti bearing motor, periksa internal part motor
11P17A;FOC I;09/23/2020;09/23/2020;0.35;0.28;0.5;0.55;0.47;0.31;0.33;0.63;1.5;1.83;0.92;1.01;0.97;0.58;4.5;7.1;5;10;1.83;0.92;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa clearence bearing pompa, periksa axial end play dan radial lifting shaft pompa, periksa internal part pompa
11P17B;FOC I;09/23/2020;09/23/2020;0.54;0.33;0.79;0.76;0.69;0.63;0.72;1.44;1.47;2.93;1.76;1.13;1.56;1.41;4.5;7.1;5;10;2.93;1.76;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
11P17C;FOC I;09/23/2020;09/23/2020;0.44;0.9;1.2;0.75;1.06;0.9;0.96;0.77;1.32;1.57;0.44;0.9;1.1;1.09;4.5;7.1;5;10;1.57;0.77;MTR;PUMP;NORMAL, Masih dimonitoring;;
12K1A;FOC I;09/23/2020;09/23/2020;0.18;0.39;0.44;0.19;0.26;0.35;0.36;;;;;;;;7.1;11.2;5;10;0.44;0.19;MTR;COMP;NORMAL, Masih dimonitoring;;
12K1B;FOC I;01/02/2018;09/23/2020;0.15;0.35;0.28;0.15;0.25;0.36;0.30;;;;;;;;7.1;11.2;5;10;0.36;0.15;MTR;COMP;NORMAL, Masih dimonitoring;;
12K1C;FOC I;07/29/2020;09/23/2020;0.12;0.20;0.20;0.11;0.17;0.21;0.19;;;;;;;;7.1;11.2;5;10;0.21;0.12;MTR;COMP;NORMAL, Masih dimonitoring;;
12P1B;FOC I;09/23/2020;09/23/2020;0.11;0.68;0.76;0.2;0.36;0.81;0.47;0.43;0.53;0.71;0.79;0.35;0.75;1.02;7.1;11.2;5;10;1.02;0.79;MTR;PUMP;NORMAL, Masih dimonitoring;;
12P1A;FOC I;07/28/2020;09/23/2020;0.13;0.40;0.65;0.28;0.63;1.38;0.36;0.80;0.87;0.84;1.22;1.53;1.29;1.01;7.1;11.2;5;10;1.53;1.22;MTR;PUMP;NORMAL, Masih dimonitoring;;
12P2;FOC I;07/28/2020;09/23/2020;0.31;0.49;0.68;0.40;1.78;0.76;1.34;1.22;2.71;4.13;0.81;2.14;4.26;0.89;7.1;11.2;5;10;4.26;1.22;MTR;PUMP;NORMAL, Masih dimonitoring;;Regreasing bearing pada kesempatan pertama, ganti bearing motor, periksa internal part motor
12P2A;FOC I;09/23/2020;09/23/2020;0.28;0.26;0.72;0.62;0.18;0.54;0.2;1.31;2.27;4.71;0.71;1.84;4.19;1.66;7.1;11.2;5;10;4.71;1.31;MTR;PUMP;NORMAL, Masih dimonitoring;;
13K1A;FOC I;07/22/2020;09/23/2020;0.18;0.47;0.53;0.28;0.70;0.69;0.46;;;;;;;;7.1;11.2;5;10;0.7;0.28;MTR;COMP;NORMAL, Masih dimonitoring;;Periksa internal part compressor
13K1B;FOC I;09/23/2020;09/23/2020;0.11;0.32;0.53;0.19;0.56;0.57;0.42;;;;;;;;7.1;11.2;5;10;0.57;0.19;MTR;COMP;NORMAL, Masih dimonitoring;;Periksa clearence bearing compressor, periksa internal part compressor
13P1;FOC I;09/23/2020;09/23/2020;0.15;3;3.16;0.22;0.78;3.54;2.84;0.28;0.65;1.35;2.12;0.41;0.53;0.74;11.2;18;5;10;3.54;2.12;MTR;PUMP;NORMAL, Masih dimonitoring;;
13P2;FOC I;10/23/2019;09/23/2020;0.42;3.21;4.64;0.42;3.48;5.84;2.39;0.87;3.66;3.68;0.49;2.43;3.17;2.74;11.2;18;5;10;5.84;0.87;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, periksa clearance bearing pompa, realignment motor terhadap pompa
13P2A;FOC I;09/23/2020;09/23/2020;0.32;0.31;0.63;0.32;0.28;0.67;0.45;0.54;0.49;1.08;0.83;1.03;0.8;0.73;11.2;18;5;10;1.08;0.83;MTR;PUMP;NORMAL, Masih dimonitoring;;
13P4A;FOC I;09/23/2020;09/23/2020;0.9;2.41;2.68;0.55;2.38;3.8;2.15;1.94;3.89;3.28;2.25;3.5;2.38;1.83;4.5;7.1;5;10;3.89;2.25;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
13P4B;FOC I;07/28/2020;09/23/2020;0.68;2.80;1.39;0.52;2.50;3.29;2.73;2.87;2.68;3.78;4.63;2.31;2.65;1.93;4.5;7.1;5;10;3.78;4.63;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
13P6 (Vertical);FOC I;09/23/2020;09/23/2020;0.09;0.37;1.48;0.08;0.35;0.61;0.22;0.07;0.21;0.36;0.04;0.38;0.35;0.32;2.82;4.5;5;10;1.48;0.09;MTR;PUMP;NORMAL, Masih dimonitoring;;
13P5A (Vertical);FOC I;07/14/2020;09/23/2020;0.88;0.79;0.73;0.55;0.36;0.56;0.46;0.35;0.34;0.32;0.10;0.21;0.24;0.30;2.82;4.5;5;10;0.79;0.88;MTR;PUMP;NORMAL, Masih dimonitoring;;
13P5B (Vertical);FOC I;09/23/2020;09/23/2020;0.54;0.79;0.8;0.73;0.43;0.36;0.47;0.47;0.33;0.36;0.14;0.35;0.33;0.35;2.82;4.5;5;10;0.8;0.73;MTR;PUMP;NORMAL, Masih dimonitoring;;
14K1 -T;FOC I;06/04/2020;09/23/2020;1.77;1.36;1.66;1.52;1.21;1.28;1.50;0.40;0.52;1.78;0.24;1.39;1.93;0.43;7.1;11.2;10;15;1.93;1.77;TRB;COMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli turbine pada kesempatan pertama
14K1P1A -T;FOC I;09/23/2020;09/23/2020;1.88;0.69;0.7;2.7;1.1;0.67;0.56;0.64;1.02;0.92;0.35;0.4;0.53;0.83;4.5;7.1;10;15;1.1;2.7;TRB;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi pelumasan pompa pada kesempatan pertama, ganti bearing pompa, periksa internal part pompa
14K1P1B;FOC I;01/29/2020;09/23/2020;0.75;1.42;1.20;0.75;0.45;2.47;1.09;3.26;0.82;1.04;0.40;0.81;1.03;0.90;4.5;7.1;5;10;2.47;3.26;MTR;PUMP;NORMAL, Masih dimonitoring;;
14K1P2A -T;FOC I;09/23/2020;09/23/2020;2.48;0.63;0.62;3.91;0.64;0.8;0.55;2.28;0.98;1.07;0.87;0.75;0.89;1.5;4.5;7.1;10;15;1.5;3.91;TRB;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment turbine terhadap pompa
14K1P2B;FOC I;12/11/2018;09/23/2020;0.33;1.28;1.83;0.37;0.99;1.51;1.97;5.90;0.95;2.32;1.05;0.43;2.36;1.57;4.5;7.1;5;10;2.36;5.9;MTR;PUMP;ALERT, Indikasi bearing pompa defect;BEARING DEFECT;Ganti bearing pompa, periksa internal part pompa
14P1(14P601);FOC I;07/24/2019;09/23/2020;0.64;0.72;2.06;0.75;0.34;1.87;0.17;0.35;1.00;1.43;0.54;0.99;1.05;0.41;7.1;11.2;5;10;2.06;0.75;MTR;PUMP;NORMAL, Masih dimonitoring;;Cleaning strainer pompa, atur bukaan valve pompa, periksa internal part pompa
14P1A(14P601A);FOC I;;09/23/2020;;;;;;;;;;;;;;;7.1;11.2;5;10;;;MTR;PUMP;;;
14P2A;FOC I;06/08/2018;09/23/2020;0.23;1.00;0.95;0.12;0.46;0.60;0.36;0.10;0.30;0.33;0.12;0.47;0.52;0.90;2.82;4.5;5;10;1;0.23;MTR;PUMP;NORMAL, Masih dimonitoring;;
14P4A;FOC I;07/28/2020;09/23/2020;0.88;0.70;0.91;6.68;1.28;1.21;0.58;3.37;2.54;3.53;3.39;2.32;2.59;1.98;4.5;7.1;5;10;3.53;6.68;MTR;PUMP;ALERT, Indikasi bearing motor defect;BEARING DEFECT;Regreasing bearing motor pada kesempatan pertama, ganti bearing motor, periksa internal part motor
14P4B;FOC I;09/23/2020;09/23/2020;0.2;0.32;0.84;0.25;0.4;0.56;0.42;3.6;2.47;1.9;2.83;1.87;1.4;1.39;4.5;7.1;5;10;2.47;3.6;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi lube oli bearing pompa pada kesempatan pertama, ganti bearing pompa, periksa internal part pompa
14P5A;FOC I;07/01/2020;09/23/2020;0.33;0.67;5.47;0.51;0.71;4.87;1.15;0.74;0.72;1.18;0.46;0.70;0.95;0.43;7.1;11.2;5;10;5.47;0.74;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
14P5B;FOC I;09/23/2020;09/23/2020;0.18;0.4;1.5;0.27;0.45;1.56;1.41;0.44;1.02;1.26;0.73;0.77;0.89;0.62;7.1;11.2;5;10;1.56;0.73;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
14P7A -T(14P607A);FOC I;07/17/2019;09/23/2020;1.34;0.38;0.47;2.68;0.30;0.30;0.37;0.20;0.29;0.23;0.27;0.19;0.18;0.21;4.5;7.1;10;15;0.47;2.68;TRB;PUMP;NORMAL, Masih dimonitoring;;
14P7B(14P607B);FOC I;08/07/2019;09/23/2020;2.89;2.11;3.36;3.74;2.07;3.13;1.47;0.75;1.25;1.67;0.91;0.99;1.34;1.32;4.5;7.1;5;10;3.36;3.74;MTR;PUMP;NORMAL, Masih dimonitoring;;
14P3A;FOC I;12/11/2018;09/23/2020;0.26;2.04;1.28;0.12;0.71;0.56;0.73;0.05;0.24;0.28;0.07;0.21;0.17;0.30;2.82;4.5;5;10;2.04;0.26;MTR;PUMP;NORMAL, Masih dimonitoring;;
14P6;FOC I;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
15P2;FOC I;07/04/2017;09/23/2020;0.22;0.78;1.06;0.23;1.07;0.57;0.56;0.48;2.58;2.51;0.34;2.06;2.18;2.08;2.82;4.5;5;10;2.58;0.48;MTR;PUMP;NORMAL, Masih dimonitoring;;
15P2A;FOC I;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
15P2B;FOC I;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
16K1;FOC I;;09/23/2020;;;;;;;;;;;;;;;7.1;11.2;5;10;;;MTR;COMP;;;
16P2;FOC I;01/02/2018;09/23/2020;0.23;0.68;1.13;0.45;0.68;1.07;0.86;4.82;3.75;4.09;6.18;3.83;2.66;3.03;2.82;4.5;5;10;4.09;6.18;MTR;PUMP;ALERT, Indikasi bearing pompa defect;BEARING DEFECT;Ganti bearing pompa, periksa internal part pompa
16P3;FOC I;10/28/2019;09/23/2020;0.17;1.39;1.70;0.31;0.89;1.97;0.85;2.32;3.16;3.99;2.56;3.35;3.39;2.51;2.82;4.5;5;10;3.99;2.56;MTR;PUMP;ALERT, Indikasi mechanical looseness pada pompa;MECH. LOOSE;Periksa clearence bearing pompa, periksa axial end play dan radial lifting shaft pompa, periksa internal part pompa
16P4;FOC I;;09/23/2020;;;;;;;;;;;;;;;4.5;7.1;5;10;;;MTR;PUMP;;;
17P1A;FOC I;09/23/2020;09/23/2020;0.5;0.6;1.48;1.96;0.8;1.12;0.96;1.45;1.14;1.21;1.42;1.02;1.24;1.02;2.82;4.5;5;10;1.48;1.96;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
17P1B;FOC I;06/23/2020;09/23/2020;2.19;2.05;3.19;4.25;3.00;4.01;1.54;1.27;1.36;1.35;0.95;1.40;1.49;0.78;2.82;4.5;5;10;4.01;4.25;MTR;PUMP;ALERT, Indikasi bearing motor defect;BEARING DEFECT;Ganti bearing motor, periksa internal part motor
17P3;FOC I;09/23/2020;09/23/2020;0.77;1.4;1.1;1.35;1.17;1.03;0.77;0.51;0.64;0.7;0.43;0.65;0.63;0.57;2.82;4.5;5;10;1.4;1.35;MTR;PUMP;NORMAL, Masih dimonitoring;;
19P1A;FOC I;;09/23/2020;;;;;;;;;;;;;;;4.53;7.16;5;10;;;MTR;PUMP;;;
19P1B;FOC I;;09/23/2020;;;;;;;;;;;;;;;4.53;7.16;5;10;;;MTR;PUMP;;;
20P1 (vertical);LOC I;10/09/2019;09/23/2020;0.44;8.13;1.66;0.53;5.82;2.62;1.31;1.02;4.50;0.98;1.36;2.95;1.43;3.18;2.82;4.5;5;10;8.13;1.36;MTR;PUMP;DANGER, Indikasi struktur looseness;STRUKTUR LOOSE;Periksa pondasi dan support pada equipment
20P2 (vertical);LOC I;10/09/2019;09/23/2020;0.21;2.54;4.80;0.19;2.60;3.72;1.37;0.69;1.87;3.04;0.80;0.98;2.28;2.61;2.82;4.5;5;10;4.8;0.8;MTR;PUMP;DANGER, Indikasi struktur looseness;STRUKTUR LOOSE;Periksa pondasi dan support pada equipment
20P3;LOC I;08/07/2017;09/23/2020;0.36;1.69;1.99;0.28;1.38;1.50;1.07;0.54;1.21;1.22;0.60;0.51;0.50;1.11;2.82;4.5;5;10;1.99;0.6;MTR;PUMP;NORMAL, Masih dimonitoring;;
20P3A;LOC I;;09/23/2020;;;;;;;;;;;;;;;2.82;4.5;5;10;;;MTR;PUMP;;;
20P3B;LOC I;01/22/2018;09/23/2020;0.28;0.75;1.19;0.45;1.59;1.67;1.89;0.70;1.29;1.66;0.69;0.98;1.31;0.91;2.82;4.5;5;10;1.89;0.7;MTR;PUMP;NORMAL, Masih dimonitoring;;
21F1K (FDF);LOC I;09/23/2020;09/23/2020;0.51;0.83;1.18;0.31;0.68;1.08;0.73;0.78;0.33;0.66;2.56;1.04;1.86;1.14;4.5;7.1;5;10;1.86;2.56;MTR;BLW;NORMAL, Masih dimonitoring;;
21F1K (IDF);LOC I;01/28/2019;09/23/2020;0.39;0.67;1.63;0.26;0.97;2.78;1.13;0.59;0.77;1.58;0.62;1.55;2.34;1.75;4.5;7.1;5;10;2.78;0.62;MTR;BLW;NORMAL, Masih dimonitoring;;
21P10;LOC I;05/19/2020;09/23/2020;0.22;1.92;1.73;0.26;1.43;2.73;2.71;0.68;1.67;0.91;0.79;1.25;0.61;0.73;2.82;4.5;5;10;2.73;0.79;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
21P10A;LOC I;09/23/2020;09/23/2020;0.26;0.52;3.32;0.19;0.51;2.93;2.21;0.57;1.58;1.05;0.83;1.37;0.9;0.86;2.82;4.5;5;10;3.32;0.83;MTR;PUMP;ALERT, Indikasi stator eccentric (soft foot);SOFT FOOT;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
21P10B;LOC I;07/28/2020;09/23/2020;0.27;0.66;1.62;0.25;0.65;1.15;0.86;0.37;1.57;1.44;0.28;1.16;1.12;1.02;2.82;4.5;5;10;1.62;0.37;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kerataan kaki motor, solo run motor, realignment motor terhadap pompa
21P11;LOC I;09/23/2020;09/23/2020;0.56;0.87;2.46;1.64;1.39;2.52;1.24;0.86;4.01;2.89;1.16;3.55;3.14;3.17;2.82;4.5;5;10;4.01;1.64;MTR;PUMP;ALERT, Indikasi unbalance;UNBALANCE;Periksa kondisi coupling, balancing rotor pompa, solo run motor
21P12;LOC I;09/23/2020;09/23/2020;0.72;0.33;1;0.78;0.54;0.69;0.66;2.26;1.3;1.24;3.51;0.91;0.93;0.65;2.82;4.5;5;10;1.3;3.51;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, realignment motor terhadap pompa
21P13A;LOC I;09/23/2020;09/23/2020;0.74;1.34;0.73;1.48;1.58;0.76;0.8;0.3;0.46;0.41;0.21;0.44;0.65;0.52;7.1;11.2;5;10;1.58;1.48;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, periksa kerataan kaki motor, realignment motor terhadap pompa
21P13B;LOC I;06/09/2020;09/23/2020;1.32;2.13;1.79;1.74;2.26;1.83;1.86;1.63;1.78;1.69;1.22;2.13;1.84;3.65;7.1;11.2;5;10;3.65;1.74;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa kondisi coupling, balancing rotor pompa, solo run motor
21P16A;LOC I;09/23/2020;09/23/2020;0.41;0.9;3.13;1.14;1.45;2.79;1.84;1.32;2.21;2.97;0.54;1.68;2.75;1.39;4.5;7.1;5;10;3.13;1.32;MTR;PUMP;NORMAL, Masih dimonitoring;;Periksa clearence bearing pompa, periksa axial end play dan radial lifting shaft pompa, periksa internal part pompa
